,request_date_time,station_name,mode,train_uid,origin_name,operator_name,platform,destination_name,aimed_departure_time,expected_departure_time,best_departure_estimate_mins,aimed_arrival_time
0,2024-12-09T13:29:19+00:00,Richmond,train,P90715,Richmond,London Overground,6,Stratford,13:31,13:31,1.0,unknown
1,2024-12-09T13:29:19+00:00,Richmond,train,C13699,Upminster Underground,London Underground,7,Upminster Underground,13:34,13:33,3.0,13:22
2,2024-12-09T13:29:19+00:00,Richmond,train,L58571,London Waterloo,South Western Railway,1,Reading,13:36,13:35,5.0,13:36
3,2024-12-09T13:29:19+00:00,Richmond,train,C13709,Upminster Underground,London Underground,6,Upminster Underground,13:43,13:43,13.0,13:34
4,2024-12-09T13:29:19+00:00,Richmond,train,L58576,Reading,South Western Railway,2,London Waterloo,13:45,13:45,15.0,13:45
5,2024-12-09T13:29:19+00:00,Richmond,train,P90719,Richmond,London Overground,4,Stratford,13:47,13:47,17.0,unknown
6,2024-12-09T13:29:19+00:00,Richmond,train,C13724,Upminster Underground,London Underground,5,Upminster Underground,13:53,13:53,23.0,13:42
7,2024-12-09T13:29:19+00:00,Richmond,train,L62096,London Waterloo,South Western Railway,1,Windsor & Eton Riverside,13:53,13:53,23.0,13:52
8,2024-12-09T13:29:19+00:00,Richmond,train,L61313,London Waterloo,South Western Railway,1,London Waterloo,13:58,13:58,28.0,13:58
9,2024-12-09T13:29:19+00:00,Richmond,train,L62100,Windsor & Eton Riverside,South Western Railway,2,London Waterloo,13:58,13:57,27.0,13:57
10,2024-12-09T13:29:19+00:00,Richmond,train,P90723,Richmond,London Overground,6,Stratford,14:01,14:01,31.0,unknown
11,2024-12-09T13:29:19+00:00,Richmond,train,C13744,Upminster Underground,London Underground,7,Upminster Underground,14:04,14:04,34.0,13:52
12,2024-12-09T13:29:19+00:00,Richmond,train,L58580,London Waterloo,South Western Railway,1,Reading,14:06,14:06,36.0,14:06
13,2024-12-09T13:29:19+00:00,Richmond,train,C13756,Upminster Underground,London Underground,6,Upminster Underground,14:13,14:13,43.0,14:04
14,2024-12-09T13:29:19+00:00,Richmond,train,L58585,Reading,South Western Railway,2,London Waterloo,14:15,14:17,47.0,14:15
15,2024-12-09T13:29:19+00:00,Richmond,train,L60490,London Waterloo,South Western Railway,2,London Waterloo,14:19,14:20,50.0,14:18
16,2024-12-09T13:29:19+00:00,Richmond,train,P90728,Richmond,London Overground,4,Stratford,14:19,14:19,49.0,unknown
17,2024-12-09T13:29:19+00:00,Richmond,train,C13500,Upminster Underground,London Underground,7,Upminster Underground,14:24,14:24,54.0,14:12
18,2024-12-09T13:29:19+00:00,Richmond,train,L62106,London Waterloo,South Western Railway,1,Windsor & Eton Riverside,14:24,14:24,54.0,14:23
19,2024-12-09T13:29:19+00:00,Richmond,train,L62112,Windsor & Eton Riverside,South Western Railway,2,London Waterloo,14:28,14:28,58.0,14:27
20,2024-12-09T13:29:19+00:00,Richmond,train,L61315,London Waterloo,South Western Railway,1,London Waterloo,14:31,14:31,61.0,14:30
21,2024-12-09T13:29:19+00:00,Richmond,train,P90731,Richmond,London Overground,5,Stratford,14:31,14:31,61.0,unknown
22,2024-12-09T13:29:19+00:00,Richmond,train,C13518,Upminster Underground,London Underground,6,Upminster Underground,14:34,14:34,64.0,14:25
23,2024-12-09T13:29:19+00:00,Richmond,train,L58589,London Waterloo,South Western Railway,1,Reading,14:36,14:36,66.0,14:36
24,2024-12-09T13:29:19+00:00,Richmond,train,C13530,Upminster Underground,London Underground,7,Upminster Underground,14:43,14:43,73.0,14:34
25,2024-12-09T13:29:19+00:00,Richmond,train,L58594,Reading,South Western Railway,2,London Waterloo,14:45,14:45,75.0,14:45
26,2024-12-09T13:29:19+00:00,Richmond,train,P90734,Richmond,London Overground,4,Stratford,14:45,14:45,75.0,unknown
27,2024-12-09T13:29:19+00:00,Richmond,train,L60493,London Waterloo,South Western Railway,2,London Waterloo,14:49,unknown,unknown,14:48
28,2024-12-09T13:29:19+00:00,Richmond,train,C13543,Upminster Underground,London Underground,6,Upminster Underground,14:53,14:53,83.0,14:42
29,2024-12-09T13:29:19+00:00,Richmond,train,L62116,London Waterloo,South Western Railway,1,Windsor & Eton Riverside,14:53,14:53,83.0,14:52
30,2024-12-09T13:29:19+00:00,Richmond,train,P90737,Richmond,London Overground,4,Stratford,14:56,14:56,86.0,unknown
31,2024-12-09T13:29:19+00:00,Richmond,train,L61318,London Waterloo,South Western Railway,1,London Waterloo,14:58,14:58,88.0,14:58
32,2024-12-09T13:29:19+00:00,Richmond,train,L62120,Windsor & Eton Riverside,South Western Railway,2,London Waterloo,14:58,14:58,88.0,14:57
33,2024-12-09T13:29:19+00:00,Richmond,train,C13554,Upminster Underground,London Underground,7,Upminster Underground,15:04,15:04,94.0,14:52
34,2024-12-09T13:29:19+00:00,Richmond,train,L58598,London Waterloo,South Western Railway,1,Reading,15:06,15:06,96.0,15:06
35,2024-12-09T13:29:19+00:00,Richmond,train,P90740,Richmond,London Overground,3,Stratford,15:08,15:08,98.0,unknown
36,2024-12-09T13:29:19+00:00,Richmond,train,C13569,Upminster Underground,London Underground,6,Upminster Underground,15:14,15:14,104.0,15:03
37,2024-12-09T13:29:19+00:00,Richmond,train,L58603,Reading,South Western Railway,2,London Waterloo,15:15,15:15,105.0,15:15
38,2024-12-09T13:29:19+00:00,Richmond,train,P90743,Richmond,London Overground,5,Stratford,15:17,15:17,107.0,unknown
39,2024-12-09T13:29:19+00:00,Richmond,train,L60495,London Waterloo,South Western Railway,2,London Waterloo,15:19,15:19,109.0,15:18
40,2024-12-09T13:29:19+00:00,Richmond,train,L62126,London Waterloo,South Western Railway,1,Windsor & Eton Riverside,15:23,15:23,113.0,15:22
41,2024-12-09T13:29:19+00:00,Richmond,train,C13580,Upminster Underground,London Underground,7,Upminster Underground,15:24,15:24,114.0,15:12
42,2024-12-09T13:29:19+00:00,Richmond,train,L61320,London Waterloo,South Western Railway,1,London Waterloo,15:28,15:28,118.0,15:28
43,2024-12-09T13:29:19+00:00,Richmond,train,L62132,Windsor & Eton Riverside,South Western Railway,2,London Waterloo,15:29,15:29,119.0,15:28
